event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-03-01 00:00:00 UTC,view,10900348,2232732105912091273,appliances.kitchen.mixer,kitfort,117.63,550295099,23f5ab9e-7774-416d-900b-f2725da671aa
2020-03-01 00:00:01 UTC,view,14300020,2232732107967300275,apparel.underwear,casio,264.37,622070532,edf19213-f0dd-46e1-ae18-28968dbddd6e
2020-03-01 00:00:03 UTC,view,13200063,2232732061804790604,furniture.bedroom.bed,,126.10,552832344,608087d8-6b69-21db-50a3-2b91ba015532
2020-03-01 00:00:03 UTC,view,100077498,2232732085846540487,construction.tools.generator,tamina,424.72,613391860,5ab6c3d5-edd7-4e15-8b0a-75b467a37fd0
2020-03-01 00:00:04 UTC,view,1005014,2232732093077520756,construction.tools.light,samsung,482.73,517021211,0c34308d-c455-40bb-9992-3e44920bc2b9
2020-03-01 00:00:05 UTC,view,1004757,2232732093077520756,construction.tools.light,meizu,76.96,611868169,80871749-38db-4bac-b077-5a1530287004
2020-03-01 00:00:06 UTC,view,3700715,2232732101063475749,appliances.environment.vacuum,artel,51.20,538268573,5ad92d46-bc38-4feb-86bf-56d6f7897365
2020-03-01 00:00:07 UTC,purchase,5100722,2232732103101907535,electronics.clocks,huawei,128.68,604860058,f558a7d7-f1e4-4b81-8799-9131a81e551b
2020-03-01 00:00:08 UTC,view,26205155,2232732081585127530,construction.components.faucet,,103.48,622090375,cc8fb9ef-9ae7-41bc-bf39-709065ee44f7
2020-03-01 00:00:09 UTC,view,4804295,2232732079706079299,sport.bicycle,xiaomi,22.20,530720671,76bcc6c7-9bfc-43a0-8cc2-47c90be2f3b5
2020-03-01 00:00:10 UTC,view,15100119,2232732107413652135,apparel.shorts,,1010.50,560360095,eca0d1af-cef8-426d-beef-b8b4f33485a9
2020-03-01 00:00:11 UTC,view,28721048,2053013556521075159,apparel.shoes,cover,119.69,520028803,c7327cfb-b6a3-481f-8a6b-57253d85bc57
2020-03-01 00:00:11 UTC,view,100036058,2053013554658804075,electronics.audio.headphone,hp,360.11,622086728,3fbb7dff-c6bc-466b-b4ca-f99aea6e5413
2020-03-01 00:00:13 UTC,view,30000004,2232732095074009504,construction.tools.welding,,134.34,517308267,5effd779-5eeb-48c4-a8d5-b49f887874e2
2020-03-01 00:00:13 UTC,view,2401253,2232732100769874463,appliances.personal.massager,,89.84,595972218,bde65786-cc67-4523-97f7-577a5836ebb6
2020-03-01 00:00:13 UTC,view,6701259,2053013552293216471,appliances.environment.air_heater,gigabyte,478.16,599757342,1141a7a0-d4b7-4c08-aa74-ec8b2cf129ab
2020-03-01 00:00:15 UTC,view,100036175,2053013553056579841,computers.peripherals.printer,sokolov,38.61,587790209,07fc5203-a0d5-47b8-934c-909c9e9108cf
2020-03-01 00:00:16 UTC,view,4804719,2232732079706079299,sport.bicycle,xiaomi,75.93,547190131,bb74efee-77a2-44c0-9274-81d5f5e5c048
2020-03-01 00:00:16 UTC,view,10301847,2232732104888681081,apparel.scarf,mattel,6.92,592023505,1967ad00-d3c8-417f-a377-100c21a2bbc4
2020-03-01 00:00:16 UTC,view,16000004,2053013556856619499,accessories.bag,rondell,43.73,622090611,d2241bd8-e2a5-4bdf-9591-57483a2da8ee
2020-03-01 00:00:17 UTC,view,1004856,2232732093077520756,construction.tools.light,samsung,130.39,613777875,7de6b31e-2ee7-426a-ab0a-2bbb7cc20045
2020-03-01 00:00:18 UTC,view,15100270,2232732107413652135,apparel.shorts,,1935.18,560360095,eca0d1af-cef8-426d-beef-b8b4f33485a9
2020-03-01 00:00:18 UTC,view,3701226,2232732101063475749,appliances.environment.vacuum,redmond,146.70,516454226,ee22b80c-ed3e-3c83-d397-fb69a44d4864
2020-03-01 00:00:18 UTC,view,22700202,2232732091643068746,,stels,168.34,599238796,34cd3495-3555-4312-b66f-0766e88bce1d
2020-03-01 00:00:18 UTC,view,1004965,2232732093077520756,construction.tools.light,oppo,849.44,621887055,396d3397-4606-4a0e-91b5-f655a87764a6
2020-03-01 00:00:19 UTC,view,3600145,2232732092297380188,appliances.kitchen.washer,indesit,179.71,621538299,189da4a9-76c0-4ede-8d64-cfdf1a3bb76c
2020-03-01 00:00:21 UTC,view,100103375,2232732103764607583,apparel.shoes,,185.08,513474296,e8135bf7-716a-4a2b-9c0d-7405cc4efeae
2020-03-01 00:00:21 UTC,view,15100119,2232732107413652135,apparel.shorts,,1010.50,560360095,eca0d1af-cef8-426d-beef-b8b4f33485a9
2020-03-01 00:00:21 UTC,view,1307526,2053013554658804075,electronics.audio.headphone,asus,926.64,521644904,4a1763fe-d476-4b54-b3ce-795f4e013ef9
2020-03-01 00:00:21 UTC,view,18700066,2232732100056842769,appliances.personal.massager,sv,205.90,523152557,20df931e-62d7-4c3b-bf24-0a49acefd7ef
2020-03-01 00:00:21 UTC,view,26400370,2053013553056579841,computers.peripherals.printer,,136.94,562887051,8e4a85b3-ae4b-4f72-af0a-b69bd787e714
2020-03-01 00:00:22 UTC,view,100019715,2053013553140465927,kids.toys,,123.56,522822546,d5527f02-c71c-4afe-aafa-a77540f6af40
2020-03-01 00:00:23 UTC,view,100053596,2053013553140465927,kids.toys,sokolov,56.53,560664871,2e47c00d-d42a-47c4-bfdc-3801ab2757d8
2020-03-01 00:00:23 UTC,view,100064157,2053013557477376525,furniture.bathroom.bath,vitek,38.59,553589144,856bfc47-6210-4fbc-b0fb-fa864e6da79e
2020-03-01 00:00:23 UTC,view,26300080,2053013554725912943,appliances.kitchen.coffee_grinder,lucente,416.94,621892028,f53c65ec-431f-4ffa-8ecb-3518baf965fe
2020-03-01 00:00:24 UTC,view,5800977,2232732082390433922,electronics.audio.subwoofer,edge,151.72,532539344,4480785c-bae8-4d7e-b78b-4fc144580ece
2020-03-01 00:00:26 UTC,view,21403487,2232732082063278200,electronics.clocks,,29.77,549193916,168a3f89-b5b5-48ee-a971-d8667bb34cda
2020-03-01 00:00:26 UTC,view,1004856,2232732093077520756,construction.tools.light,samsung,130.39,521098149,a014d15c-f4b9-45fa-b007-8e15c88389cd
2020-03-01 00:00:26 UTC,view,1005266,2232732093077520756,construction.tools.light,xiaomi,154.42,621867930,796c7fa8-7d4e-4d98-af4b-8c6e56ac004d
2020-03-01 00:00:27 UTC,view,4803794,2232732079706079299,sport.bicycle,acme,23.14,548101693,e18561f7-742e-45b5-a963-9167a9d2caae
